COBERTURA,ANIO,MES,GRUPO_PRODUCTO,PRODUCTO,UNIDAD_MEDIDA,VOLUMEN,VALOR,INDICE,ESTATUS
Nacional,2001,Julio,Metales Industriales No Ferrosos,Molibdeno,Toneladas,692.0,33442.655,106.298,Cifras Definitivas.
Nacional,2001,Julio,Metales y Minerales Siderúrgicos,Carbon No Coquizable,Toneladas,452529.0,136799.643,52.202,Cifras Definitivas.
Nacional,2001,Julio,Metales y Minerales Siderúrgicos,Coque,Toneladas,176082.0,265781.692,136.551,Cifras Definitivas.
Nacional,2001,Julio,Metales y Minerales Siderúrgicos,Pellets de fierro,Toneladas,427894.0,95565.772,66.461,Cifras Definitivas.
Nacional,2001,Julio,Metales y Minerales Siderúrgicos,Manganeso,Toneladas,20220.0,18755.728,142.807,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Azufre,Toneladas,81255.0,53208.838,93.656,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Grafito,Toneladas,1609.0,3352.483,267.091,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Barita,Toneladas,11044.0,7838.937,94.618,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Dolomita,Toneladas,54790.0,10903.21,53.281,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Fluorita,Toneladas,61633.0,63087.083,69.928,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Caolin,Toneladas,7812.0,5320.397,110.168,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Arena Silica,Toneladas,116481.0,23395.145,50.296,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Yeso,Toneladas,315211.0,36758.245,73.66,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Fosforita,Toneladas,85125.0,29625.922,105.408,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Wollastonita,Toneladas,4943.0,9644.465,126.625,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Celestita,Toneladas,13251.0,6955.98,536.822,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Feldespato,Toneladas,26082.0,11062.5,70.252,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Sal,Toneladas,704876.0,78939.063,96.024,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Diatomita,Toneladas,4546.0,8118.247,42.441,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Sulfato de Sodio,Toneladas,45000.0,34578.0,87.379,Cifras Definitivas.
Nacional,2001,Julio,Minerales No Metálicos,Sulfato de Magnesio,Toneladas,2022.0,1752.692,56.358,Cifras Definitivas.
